patch_id,keypoints
21,"128.00,132.00;127.00,116.00"
15,"100.00,147.00"
27,"151.00,146.00"
8,"47.00,93.00;60.00,87.00;60.00,97.00"
14,"90.00,94.00;75.00,86.00;75.00,96.00"
26,"156.00,94.00;171.00,86.00;171.00,96.00"
32,"199.00,93.00;186.00,87.00;186.00,97.00"
16,"77.00,184.00;94.00,173.00"
28,"170.00,184.00;154.00,173.00"
22,"125.00,180.00;113.00,149.00;127.00,152.00;140.00,149.00;111.00,166.00;125.00,170.00;138.00,167.00"
20,"125.00,85.00;126.00,100.00"
29,"155.00,192.00"
23,"139.00,194.00;125.00,195.00"
