patch_id,keypoints
14,"105.00,106.00;76.00,86.00;107.00,76.00;106.00,86.00;105.00,95.00"
15,"78.00,123.00;91.00,126.00;105.00,127.00;78.00,145.00;95.00,137.00;106.00,140.00"
21,"132.00,124.00;119.00,126.00;118.00,138.00;136.00,147.00"
2,"32.00,86.00"
20,"137.00,87.00"
26,"182.00,89.00;153.00,82.00;168.00,84.00;168.00,91.00;153.00,90.00"
10,"62.00,162.00"
28,"152.00,163.00"
16,"106.00,154.00;106.00,175.00"
8,"46.00,82.00;60.00,81.00;60.00,88.00;46.00,89.00"
22,"137.00,172.00;120.00,175.00"
