patch_id,keypoints
21,"123.00,138.00;121.00,121.00"
16,"100.00,148.00;77.00,176.00;95.00,172.00"
22,"142.00,149.00;121.00,177.00;111.00,151.00;121.00,153.00;132.00,151.00;111.00,169.00;121.00,172.00;132.00,169.00;147.00,173.00"
8,"44.00,88.00;58.00,82.00;73.00,96.00;57.00,95.00"
14,"88.00,93.00;74.00,83.00"
26,"150.00,93.00;163.00,84.00;179.00,83.00;181.00,96.00;165.00,97.00"
32,"192.00,88.00"
28,"163.00,177.00"
20,"121.00,88.00;121.00,104.00"
23,"147.00,185.00;132.00,188.00;121.00,188.00"
