patch_id,keypoints
15,"98.00,130.00;79.00,141.00;99.00,114.00;89.00,145.00;100.00,147.00"
21,"121.00,142.00;111.00,144.00"
8,"37.00,89.00;49.00,83.00;63.00,83.00;62.00,92.00;49.00,92.00"
14,"76.00,90.00;101.00,84.00;100.00,99.00"
20,"132.00,89.00;145.00,82.00;146.00,91.00"
26,"173.00,88.00;160.00,83.00;160.00,92.00"
10,"60.00,174.00;72.00,165.00"
22,"141.00,175.00;111.00,159.00;127.00,164.00;127.00,184.00"
16,"99.00,173.00;87.00,159.00;99.00,163.00"
23,"111.00,189.00"
17,"98.00,190.00"
