patch_id,keypoints
15,"110.00,130.00;86.00,142.00;110.00,114.00;99.00,144.00;110.00,146.00"
21,"133.00,142.00;121.00,144.00"
8,"39.00,86.00;53.00,81.00;69.00,82.00;67.00,91.00;52.00,91.00"
14,"81.00,90.00;110.00,83.00;110.00,99.00"
20,"137.00,89.00"
26,"179.00,86.00;151.00,81.00;166.00,80.00;168.00,90.00;153.00,91.00"
10,"56.00,165.00"
28,"162.00,164.00"
16,"109.00,167.00;78.00,163.00;98.00,161.00;109.00,163.00"
22,"123.00,161.00;141.00,163.00;141.00,178.00;121.00,184.00"
17,"108.00,185.00"
