patch_id,keypoints
14,"106.00,107.00;105.00,82.00;106.00,94.00"
15,"77.00,124.00;91.00,127.00;105.00,129.00;94.00,142.00;106.00,144.00"
21,"134.00,125.00;120.00,127.00;120.00,142.00"
2,"22.00,77.00;36.00,81.00"
8,"70.00,80.00;53.00,81.00"
20,"136.00,82.00"
26,"184.00,82.00;154.00,74.00;170.00,75.00;170.00,85.00;154.00,84.00"
10,"60.00,164.00"
28,"154.00,168.00"
16,"106.00,158.00;76.00,149.00;105.00,182.00"
13,"105.00,71.00"
1,"36.00,71.00"
7,"52.00,71.00"
22,"138.00,152.00;138.00,179.00;120.00,182.00"
