patch_id,keypoints
21,"119.00,120.00;119.00,140.00;134.00,137.00"
15,"89.00,134.00;103.00,137.00"
27,"148.00,133.00"
8,"43.00,81.00;56.00,75.00;71.00,74.00;71.00,85.00;56.00,85.00"
14,"87.00,81.00"
20,"143.00,82.00;117.00,87.00;118.00,104.00"
32,"188.00,82.00"
10,"70.00,171.00"
28,"168.00,171.00;149.00,163.00;151.00,181.00"
22,"119.00,169.00;119.00,161.00;131.00,158.00;134.00,184.00"
19,"117.00,71.00"
26,"159.00,75.00;174.00,75.00;174.00,86.00;158.00,86.00"
16,"88.00,164.00;105.00,158.00"
23,"120.00,185.00"
