patch_id,keypoints
21,"126.00,120.00;112.00,138.00;125.00,139.00;136.00,138.00"
15,"99.00,138.00"
27,"148.00,138.00"
8,"48.00,90.00;62.00,85.00;60.00,95.00"
14,"91.00,92.00;76.00,84.00;76.00,94.00"
26,"154.00,93.00;168.00,86.00;183.00,87.00;183.00,96.00;168.00,96.00"
32,"195.00,92.00"
16,"76.00,171.00;95.00,161.00"
28,"168.00,171.00;152.00,160.00;152.00,181.00"
22,"124.00,170.00;113.00,154.00;124.00,157.00;135.00,154.00;136.00,184.00"
20,"124.00,85.00;124.00,97.00;125.00,108.00"
23,"124.00,185.00"
